,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Meaghan Rickard,3.0,0.0,2.0,2.0,0.0,6.0,10.0,4.0,1.0,5.0
Meghara McManus,6.0,0.0,0.0,1.0,0.0,5.0,12.0,7.0,3.0,7.0
Amanda Leveille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haley Mack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maddie Rowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonna Curtis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audra Richards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meaghan Pezon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sara Bustad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lynn Astrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooke White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lovisa Selander,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Rose Alleva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayla Friesen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tori Howran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shannon Doyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicole Guagliardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alyson Matteau,4.0,0.0,0.0,9.0,0.0,13.0,15.0,3.0,4.0,4.0
Erin Gehen,1.0,0.0,0.0,5.0,0.0,11.0,7.0,4.0,1.0,9.0
Jordan Juron,5.0,5.0,0.0,6.0,0.0,13.0,17.0,3.0,3.0,5.0
Abbie Ives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marie-Jo Pelletier,6.0,0.0,0.0,12.0,0.0,16.0,24.0,2.0,2.0,1.0
Janine Weber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carly Jackson,1.0,0.0,0.0,1.0,0.0,9.0,10.0,0.0,1.0,0.0
Whitney Dove,5.0,0.0,0.0,11.0,1.0,19.0,31.0,4.0,0.0,3.0
Emma Vlasic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominique Kremer,6.0,0.0,0.0,7.0,0.0,8.0,20.0,1.0,1.0,5.0
Katelynn Russ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alyssa Wohlfeiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autumn MacDougall,2.0,0.0,0.0,7.0,0.0,11.0,11.0,8.0,1.0,2.0
Maggie LaGue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Orlando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooke Stacey,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0
Kayla Meneghin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Accursi,2.0,2.0,0.0,2.0,1.0,4.0,5.0,2.0,0.0,3.0
Taylor Marchin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace Klienbach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Megan Delay,2.0,0.0,0.0,2.0,2.0,6.0,8.0,3.0,3.0,0.0
Sarah Schwenzfeier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaycie Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maddie Bishop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amanda Conway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iveta Klimasova,3.0,1.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
Mackenzie Lancaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neve Van Pelt,1.0,0.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0
Kristin Lewicki,2.0,0.0,1.0,4.0,0.0,13.0,11.0,2.0,2.0,9.0
Hanna Beattie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brittany Colton,3.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,2.0,2.0
Cassidy MacPherson,7.0,2.0,0.0,5.0,0.0,14.0,19.0,2.0,1.0,5.0
Lenka Curmova,3.0,0.0,0.0,11.0,1.0,8.0,15.0,1.0,4.0,1.0
Shiann Darkangelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emma Greco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonjia Shelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammy Kolowrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiira Dosdall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison Packer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emma Woods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emily Janiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Steele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Megan Quinn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Babstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayne Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leila Kilduff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breanne Wilson-Bennett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindsay Eastwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Cornine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paige Voight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebecca Morse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natalie Marcuzzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Woods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallory Rushton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theresa Knutson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allie Olnowich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristen Barbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elaine Chuli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taytum Clairmont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julie Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebecca Russo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kate Leary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emily Fluke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikyla Grant-Mentis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah-Eve Coutu Godbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saroya Tinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amy Curlew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooke Avery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mackenzie MacNeil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooke Boquist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cailey Hutchison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Hanson,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Brooke Wolejko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tera Hofmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samantha Ridgewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Briana Mastel,6.0,0.0,0.0,8.0,0.0,21.0,25.0,2.0,1.0,0.0
Laurel Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Wasylk,3.0,0.0,0.0,4.0,1.0,8.0,6.0,1.0,1.0,2.0
Lisa Chesson,4.0,0.0,0.0,10.0,1.0,12.0,16.0,2.0,3.0,1.0
Caty Flagg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachael Ade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maeve Reilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Hughson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariah Fujimagari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
